GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_132,GCF_002128045.1;protein_132,GCF_000319675.2;protein_131,GCF_000027345.1;protein_132,GCF_000283755.1;protein_133,GCF_002127985.1;protein_132,GCF_009947205.1;protein_131,GCF_041931765.1;protein_210,GCF_040256845.1;protein_132,GCF_002128265.1;protein_132,GCF_041931565.1;protein_327,GCF_009944725.1;protein_133,GCF_002128145.1;protein_132,GCF_001558175.1;protein_131,GCF_009942155.1;protein_132,GCF_041931755.1;protein_209,GCF_001272775.1;protein_133,GCF_009939765.1;protein_133,GCF_002355715.1;protein_132,GCF_900660465.1;protein_594,GCF_002128285.1;protein_132,GCF_009944335.1;protein_132,GCF_001272755.1;protein_132,GCF_000733995.1;protein_209,GCF_002090215.1;protein_131,GCF_000319655.2;protein_133,GCF_009947575.1;protein_133,GCF_009945865.1;protein_134,GCF_009943805.1;protein_133,GCF_002090295.1;protein_132,,,,,,,
GCF_910574535.1;protein_133,GCF_002128045.1;protein_133,GCF_000319675.2;protein_132,GCF_000027345.1;protein_133,GCF_000283755.1;protein_134,GCF_002127985.1;protein_133,GCF_009947205.1;protein_132,GCF_041931765.1;protein_211,GCF_040256845.1;protein_133,GCF_002128265.1;protein_133,GCF_041931565.1;protein_328,GCF_009944725.1;protein_134,GCF_002128145.1;protein_133,GCF_001558175.1;protein_132,GCF_009942155.1;protein_133,GCF_041931755.1;protein_210,GCF_001272775.1;protein_134,GCF_009939765.1;protein_134,GCF_002355715.1;protein_133,GCF_900660465.1;protein_593,GCF_002128285.1;protein_133,GCF_009944335.1;protein_133,GCF_001272755.1;protein_133,GCF_000733995.1;protein_210,GCF_002090215.1;protein_132,GCF_000319655.2;protein_134,GCF_009947575.1;protein_134,GCF_009945865.1;protein_135,GCF_009943805.1;protein_134,GCF_002090295.1;protein_133,,,,,,,
GCF_910574535.1;protein_134,GCF_002128045.1;protein_134,GCF_000319675.2;protein_133,GCF_000027345.1;protein_134,GCF_000283755.1;protein_135,GCF_002127985.1;protein_134,GCF_009947205.1;protein_133,GCF_041931765.1;protein_212,GCF_040256845.1;protein_134,GCF_002128265.1;protein_134,GCF_041931565.1;protein_329,GCF_009944725.1;protein_135,GCF_002128145.1;protein_134,GCF_001558175.1;protein_133,GCF_009942155.1;protein_134,GCF_041931755.1;protein_211,GCF_001272775.1;protein_135,GCF_009939765.1;protein_135,GCF_002355715.1;protein_134,GCF_900660465.1;protein_592,GCF_002128285.1;protein_134,GCF_009944335.1;protein_134,GCF_001272755.1;protein_134,GCF_000733995.1;protein_211,GCF_002090215.1;protein_133,GCF_000319655.2;protein_135,GCF_009947575.1;protein_135,GCF_009945865.1;protein_136,GCF_009943805.1;protein_135,GCF_002090295.1;protein_134,,,,,,,
GCF_910574535.1;protein_135,GCF_002128045.1;protein_135,GCF_000319675.2;protein_134,GCF_000027345.1;protein_135,GCF_000283755.1;protein_136,GCF_002127985.1;protein_135,GCF_009947205.1;protein_134,GCF_041931765.1;protein_213,GCF_040256845.1;protein_135,GCF_002128265.1;protein_135,GCF_041931565.1;protein_330,GCF_009944725.1;protein_136,GCF_002128145.1;protein_135,GCF_001558175.1;protein_134,GCF_009942155.1;protein_135,GCF_041931755.1;protein_212,GCF_001272775.1;protein_136,GCF_009939765.1;protein_136,GCF_002355715.1;protein_135,GCF_900660465.1;protein_591,GCF_002128285.1;protein_135,GCF_009944335.1;protein_135,GCF_001272755.1;protein_135,GCF_000733995.1;protein_212,GCF_002090215.1;protein_134,GCF_000319655.2;protein_136,GCF_009947575.1;protein_136,GCF_009945865.1;protein_137,GCF_009943805.1;protein_136,GCF_002090295.1;protein_135,,,,,,,
GCF_910574535.1;protein_136,GCF_002128045.1;protein_136,GCF_000319675.2;protein_135,GCF_000027345.1;protein_136,GCF_000283755.1;protein_137,GCF_002127985.1;protein_136,GCF_009947205.1;protein_135,GCF_041931765.1;protein_214,GCF_040256845.1;protein_136,GCF_002128265.1;protein_136,GCF_041931565.1;protein_331,GCF_009944725.1;protein_137,GCF_002128145.1;protein_136,GCF_001558175.1;protein_135,GCF_009942155.1;protein_136,GCF_041931755.1;protein_213,GCF_001272775.1;protein_137,GCF_009939765.1;protein_137,GCF_002355715.1;protein_136,GCF_900660465.1;protein_590,GCF_002128285.1;protein_136,GCF_009944335.1;protein_136,GCF_001272755.1;protein_136,GCF_000733995.1;protein_213,GCF_002090215.1;protein_135,GCF_000319655.2;protein_137,GCF_009947575.1;protein_137,GCF_009945865.1;protein_138,GCF_009943805.1;protein_137,GCF_002090295.1;protein_136,,,,,,,
GCF_009942155.1;protein_137,GCF_002090215.1;protein_136,,GCF_009947205.1;protein_136,GCF_000319655.2;protein_138,GCF_009945865.1;protein_139,GCF_002355715.1;protein_137,GCF_001272775.1;protein_138,GCF_009944335.1;protein_137,GCF_040256845.1;protein_137,GCF_910574535.1;protein_137,GCF_000283755.1;protein_138,GCF_002128145.1;protein_137,GCF_002090295.1;protein_137,GCF_009947575.1;protein_138,GCF_002128265.1;protein_137,GCF_900660465.1;protein_589,GCF_000319675.2;protein_136,GCF_001558175.1;protein_136,GCF_001272755.1;protein_137,GCF_002127985.1;protein_137,GCF_002128285.1;protein_137,GCF_009939765.1;protein_138,GCF_041931565.1;protein_332,GCF_009943805.1;protein_138,GCF_009944725.1;protein_138,GCF_041931765.1;protein_215,GCF_002128045.1;protein_137,GCF_000733995.1;protein_214,GCF_041931755.1;protein_214,,,,,,,
GCF_910574535.1;protein_138,GCF_002128045.1;protein_138,GCF_000319675.2;protein_137,GCF_000027345.1;protein_139,GCF_000283755.1;protein_139,GCF_002127985.1;protein_138,GCF_009947205.1;protein_137,GCF_041931765.1;protein_216,GCF_040256845.1;protein_138,GCF_002128265.1;protein_138,GCF_041931565.1;protein_333,GCF_009944725.1;protein_139,GCF_002128145.1;protein_138,GCF_001558175.1;protein_137,GCF_009942155.1;protein_138,GCF_041931755.1;protein_215,GCF_001272775.1;protein_139,GCF_009939765.1;protein_139,GCF_002355715.1;protein_138,GCF_900660465.1;protein_588,GCF_002128285.1;protein_138,GCF_009944335.1;protein_138,GCF_001272755.1;protein_138,GCF_000733995.1;protein_215,GCF_002090215.1;protein_137,GCF_000319655.2;protein_139,GCF_009947575.1;protein_139,GCF_009945865.1;protein_140,GCF_009943805.1;protein_139,GCF_002090295.1;protein_138,,,,,,,
GCF_910574535.1;protein_14,GCF_002128045.1;protein_14,GCF_000319675.2;protein_14,GCF_000027345.1;protein_14,GCF_000283755.1;protein_14,GCF_002127985.1;protein_14,GCF_009947205.1;protein_14,GCF_041931765.1;protein_91,GCF_040256845.1;protein_14,GCF_002128265.1;protein_14,GCF_041931565.1;protein_210,GCF_009944725.1;protein_14,GCF_002128145.1;protein_14,GCF_001558175.1;protein_14,GCF_009942155.1;protein_14,GCF_041931755.1;protein_91,GCF_001272775.1;protein_14,GCF_009939765.1;protein_14,GCF_002355715.1;protein_14,GCF_900660465.1;protein_713,GCF_002128285.1;protein_14,GCF_009944335.1;protein_14,GCF_001272755.1;protein_14,GCF_000733995.1;protein_90,GCF_002090215.1;protein_14,GCF_000319655.2;protein_14,GCF_009947575.1;protein_14,GCF_009945865.1;protein_14,GCF_009943805.1;protein_14,GCF_002090295.1;protein_14,,,,,,,
GCF_910574535.1;protein_140,GCF_002128045.1;protein_140,GCF_000319675.2;protein_139,GCF_000027345.1;protein_141,GCF_000283755.1;protein_141,GCF_002127985.1;protein_140,GCF_009947205.1;protein_139,GCF_041931765.1;protein_218,GCF_040256845.1;protein_140,GCF_002128265.1;protein_140,GCF_041931565.1;protein_335,GCF_009944725.1;protein_141,GCF_002128145.1;protein_140,GCF_001558175.1;protein_139,GCF_009942155.1;protein_140,GCF_041931755.1;protein_217,GCF_001272775.1;protein_141,GCF_009939765.1;protein_141,GCF_002355715.1;protein_140,GCF_900660465.1;protein_586,GCF_002128285.1;protein_140,GCF_009944335.1;protein_140,GCF_001272755.1;protein_140,GCF_000733995.1;protein_217,GCF_002090215.1;protein_139,GCF_000319655.2;protein_141,GCF_009947575.1;protein_141,GCF_009945865.1;protein_142,GCF_009943805.1;protein_141,GCF_002090295.1;protein_140,,,,,,,
GCF_900660465.1;protein_585,GCF_009943805.1;protein_142,GCF_002128045.1;protein_141,,GCF_009947205.1;protein_140,GCF_009945865.1;protein_143,GCF_002090295.1;protein_141,GCF_009944725.1;protein_142,GCF_000027345.1;protein_142,GCF_002090295.1;protein_216,GCF_000319655.2;protein_142,GCF_000733995.1;protein_218,GCF_009944335.1;protein_141,GCF_002127985.1;protein_141,GCF_009942155.1;protein_141,GCF_009947575.1;protein_142,GCF_040256845.1;protein_141,GCF_000027345.1;protein_218,GCF_001558175.1;protein_140,GCF_002090215.1;protein_140,GCF_002128145.1;protein_141,GCF_041931765.1;protein_219,GCF_000319675.2;protein_140,GCF_009939765.1;protein_142,GCF_002128265.1;protein_141,GCF_000283755.1;protein_142,GCF_001272775.1;protein_142,GCF_002355715.1;protein_141,GCF_001272755.1;protein_141,GCF_041931755.1;protein_218,GCF_002128285.1;protein_141,GCF_910574535.1;protein_141,GCF_041931565.1;protein_336,,,,
GCF_910574535.1;protein_145,GCF_002128045.1;protein_146,GCF_000319675.2;protein_145,GCF_000027345.1;protein_147,GCF_000283755.1;protein_146,GCF_002127985.1;protein_146,GCF_009947205.1;protein_145,GCF_041931765.1;protein_226,GCF_040256845.1;protein_146,GCF_002128265.1;protein_145,GCF_041931565.1;protein_341,GCF_009944725.1;protein_146,GCF_002128145.1;protein_146,GCF_001558175.1;protein_145,GCF_009942155.1;protein_145,GCF_041931755.1;protein_226,GCF_001272775.1;protein_147,GCF_009939765.1;protein_147,GCF_002355715.1;protein_145,GCF_900660465.1;protein_581,GCF_002128285.1;protein_145,GCF_009944335.1;protein_146,GCF_001272755.1;protein_146,GCF_000733995.1;protein_223,GCF_002090215.1;protein_145,GCF_000319655.2;protein_146,GCF_009947575.1;protein_147,GCF_009945865.1;protein_147,GCF_009943805.1;protein_147,GCF_002090295.1;protein_146,,,,,,,
GCF_910574535.1;protein_146,GCF_002128045.1;protein_147,GCF_000319675.2;protein_146,GCF_000027345.1;protein_148,GCF_000283755.1;protein_147,GCF_002127985.1;protein_147,GCF_009947205.1;protein_146,GCF_041931765.1;protein_227,GCF_040256845.1;protein_147,GCF_002128265.1;protein_146,GCF_041931565.1;protein_342,GCF_009944725.1;protein_147,GCF_002128145.1;protein_147,GCF_001558175.1;protein_146,GCF_009942155.1;protein_146,GCF_041931755.1;protein_227,GCF_001272775.1;protein_148,GCF_009939765.1;protein_148,GCF_002355715.1;protein_146,GCF_900660465.1;protein_580,GCF_002128285.1;protein_146,GCF_009944335.1;protein_147,GCF_001272755.1;protein_147,GCF_000733995.1;protein_224,GCF_002090215.1;protein_146,GCF_000319655.2;protein_147,GCF_009947575.1;protein_148,GCF_009945865.1;protein_148,GCF_009943805.1;protein_148,GCF_002090295.1;protein_147,,,,,,,
GCF_910574535.1;protein_147,GCF_002128045.1;protein_148,GCF_000319675.2;protein_147,GCF_000027345.1;protein_149,GCF_000283755.1;protein_148,GCF_002127985.1;protein_148,GCF_009947205.1;protein_147,GCF_041931765.1;protein_228,GCF_040256845.1;protein_148,GCF_002128265.1;protein_147,GCF_041931565.1;protein_343,GCF_009944725.1;protein_148,GCF_002128145.1;protein_148,GCF_001558175.1;protein_147,GCF_009942155.1;protein_147,GCF_041931755.1;protein_228,GCF_001272775.1;protein_149,GCF_009939765.1;protein_149,GCF_002355715.1;protein_147,GCF_900660465.1;protein_579,GCF_002128285.1;protein_147,GCF_009944335.1;protein_148,GCF_001272755.1;protein_148,GCF_000733995.1;protein_225,GCF_002090215.1;protein_147,GCF_000319655.2;protein_148,GCF_009947575.1;protein_149,GCF_009945865.1;protein_149,GCF_009943805.1;protein_149,GCF_002090295.1;protein_148,,,,,,,
GCF_910574535.1;protein_148,GCF_002128045.1;protein_149,GCF_000319675.2;protein_148,GCF_000027345.1;protein_150,GCF_000283755.1;protein_149,GCF_002127985.1;protein_149,,GCF_041931765.1;protein_229,GCF_040256845.1;protein_149,GCF_002128265.1;protein_148,GCF_041931565.1;protein_344,GCF_009944725.1;protein_149,GCF_002128145.1;protein_149,GCF_001558175.1;protein_148,,GCF_041931755.1;protein_229,GCF_001272775.1;protein_150,GCF_009939765.1;protein_150,GCF_002355715.1;protein_148,GCF_900660465.1;protein_578,GCF_002128285.1;protein_148,GCF_009944335.1;protein_149,GCF_001272755.1;protein_149,GCF_000733995.1;protein_226,GCF_002090215.1;protein_148,GCF_000319655.2;protein_149,GCF_009947575.1;protein_150,GCF_009945865.1;protein_150,GCF_009943805.1;protein_150,GCF_002090295.1;protein_149,,,,,,,
GCF_910574535.1;protein_149,GCF_002128045.1;protein_150,GCF_000319675.2;protein_149,GCF_000027345.1;protein_151,,GCF_002127985.1;protein_150,GCF_009947205.1;protein_149,GCF_041931765.1;protein_230,GCF_040256845.1;protein_150,,GCF_041931565.1;protein_345,,GCF_002128145.1;protein_150,GCF_001558175.1;protein_149,,GCF_041931755.1;protein_230,GCF_001272775.1;protein_151,GCF_009939765.1;protein_151,,,,GCF_009944335.1;protein_150,GCF_001272755.1;protein_150,GCF_000733995.1;protein_227,GCF_002090215.1;protein_149,,GCF_009947575.1;protein_151,,GCF_009943805.1;protein_151,GCF_002090295.1;protein_150,,,,,,,
GCF_910574535.1;protein_15,GCF_002128045.1;protein_15,GCF_000319675.2;protein_15,GCF_000027345.1;protein_15,GCF_000283755.1;protein_15,GCF_002127985.1;protein_15,GCF_009947205.1;protein_15,GCF_041931765.1;protein_92,GCF_040256845.1;protein_15,GCF_002128265.1;protein_15,GCF_041931565.1;protein_211,GCF_009944725.1;protein_15,GCF_002128145.1;protein_15,GCF_001558175.1;protein_15,GCF_009942155.1;protein_15,GCF_041931755.1;protein_92,GCF_001272775.1;protein_15,GCF_009939765.1;protein_15,GCF_002355715.1;protein_15,GCF_900660465.1;protein_712,GCF_002128285.1;protein_15,GCF_009944335.1;protein_15,GCF_001272755.1;protein_15,GCF_000733995.1;protein_91,GCF_002090215.1;protein_15,GCF_000319655.2;protein_15,GCF_009947575.1;protein_15,GCF_009945865.1;protein_15,GCF_009943805.1;protein_15,GCF_002090295.1;protein_15,,,,,,,
GCF_910574535.1;protein_150,GCF_002128045.1;protein_151,GCF_000319675.2;protein_150,GCF_000027345.1;protein_152,,GCF_002127985.1;protein_151,,GCF_041931765.1;protein_231,GCF_040256845.1;protein_151,,GCF_041931565.1;protein_346,,GCF_002128145.1;protein_151,GCF_001558175.1;protein_150,,GCF_041931755.1;protein_231,GCF_001272775.1;protein_152,GCF_009939765.1;protein_152,,,,GCF_009944335.1;protein_151,GCF_001272755.1;protein_151,GCF_000733995.1;protein_228,GCF_002090215.1;protein_150,,GCF_009947575.1;protein_152,,GCF_009943805.1;protein_152,,,,,,,,
GCF_910574535.1;protein_151,GCF_002128045.1;protein_152,GCF_000319675.2;protein_151,GCF_000027345.1;protein_153,GCF_000283755.1;protein_151,GCF_002127985.1;protein_152,GCF_009947205.1;protein_151,GCF_041931765.1;protein_232,GCF_040256845.1;protein_152,GCF_002128265.1;protein_150,GCF_041931565.1;protein_347,GCF_009944725.1;protein_151,GCF_002128145.1;protein_152,GCF_001558175.1;protein_151,GCF_009942155.1;protein_150,GCF_041931755.1;protein_232,GCF_001272775.1;protein_153,GCF_009939765.1;protein_153,GCF_002355715.1;protein_150,GCF_900660465.1;protein_576,GCF_002128285.1;protein_150,GCF_009944335.1;protein_152,GCF_001272755.1;protein_152,GCF_000733995.1;protein_229,GCF_002090215.1;protein_151,GCF_000319655.2;protein_151,GCF_009947575.1;protein_153,GCF_009945865.1;protein_152,GCF_009943805.1;protein_153,GCF_002090295.1;protein_152,,,,,,,
GCF_910574535.1;protein_152,GCF_002128045.1;protein_153,GCF_000319675.2;protein_152,GCF_000027345.1;protein_154,GCF_000283755.1;protein_152,GCF_002127985.1;protein_153,GCF_009947205.1;protein_152,GCF_041931765.1;protein_233,GCF_040256845.1;protein_153,GCF_002128265.1;protein_151,GCF_041931565.1;protein_348,GCF_009944725.1;protein_152,GCF_002128145.1;protein_153,GCF_001558175.1;protein_152,GCF_009942155.1;protein_151,GCF_041931755.1;protein_233,GCF_001272775.1;protein_154,GCF_009939765.1;protein_154,GCF_002355715.1;protein_151,GCF_900660465.1;protein_575,GCF_002128285.1;protein_151,GCF_009944335.1;protein_153,GCF_001272755.1;protein_153,GCF_000733995.1;protein_230,GCF_002090215.1;protein_152,GCF_000319655.2;protein_152,GCF_009947575.1;protein_154,GCF_009945865.1;protein_153,GCF_009943805.1;protein_154,GCF_002090295.1;protein_153,,,,,,,
GCF_009944335.1;protein_154,GCF_009947205.1;protein_153,GCF_000027345.1;protein_155,,GCF_009942155.1;protein_152,GCF_000319655.2;protein_153,GCF_009944725.1;protein_153,GCF_041931755.1;protein_234,GCF_009947575.1;protein_155,GCF_001272775.1;protein_155,GCF_000283755.1;protein_153,GCF_002090295.1;protein_154,GCF_009939765.1;protein_155,GCF_002128045.1;protein_154,GCF_001272755.1;protein_154,GCF_040256845.1;protein_154,GCF_041931765.1;protein_234,GCF_910574535.1;protein_153,GCF_002090215.1;protein_153,GCF_009943805.1;protein_155,GCF_002128285.1;protein_152,GCF_900660465.1;protein_574,GCF_002128145.1;protein_154,GCF_009945865.1;protein_154,GCF_000319675.2;protein_153,GCF_041931565.1;protein_349,GCF_002355715.1;protein_152,GCF_002127985.1;protein_154,GCF_002128265.1;protein_152,GCF_000733995.1;protein_231,,,,,,,
GCF_910574535.1;protein_154,GCF_002128045.1;protein_155,GCF_000319675.2;protein_154,GCF_000027345.1;protein_156,,GCF_002127985.1;protein_155,GCF_009947205.1;protein_154,GCF_041931765.1;protein_235,GCF_040256845.1;protein_155,,GCF_041931565.1;protein_350,,GCF_002128145.1;protein_155,GCF_001558175.1;protein_158,,GCF_041931755.1;protein_235,GCF_001272775.1;protein_156,GCF_009939765.1;protein_156,,,,GCF_009944335.1;protein_155,GCF_001272755.1;protein_155,GCF_000733995.1;protein_232,GCF_002090215.1;protein_154,,GCF_009947575.1;protein_156,,GCF_009943805.1;protein_156,GCF_002090295.1;protein_155,,,,,,,
GCF_910574535.1;protein_155,GCF_002128045.1;protein_156,GCF_000319675.2;protein_155,GCF_000027345.1;protein_157,GCF_000283755.1;protein_155,GCF_002127985.1;protein_156,GCF_009947205.1;protein_155,GCF_041931765.1;protein_236,GCF_040256845.1;protein_156,GCF_002128265.1;protein_154,GCF_041931565.1;protein_351,GCF_009944725.1;protein_155,GCF_002128145.1;protein_156,GCF_001558175.1;protein_159,GCF_009942155.1;protein_154,GCF_041931755.1;protein_236,GCF_001272775.1;protein_157,GCF_009939765.1;protein_157,GCF_002355715.1;protein_154,GCF_900660465.1;protein_572,GCF_002128285.1;protein_155,GCF_009944335.1;protein_156,GCF_001272755.1;protein_156,GCF_000733995.1;protein_233,GCF_002090215.1;protein_155,GCF_000319655.2;protein_155,GCF_009947575.1;protein_157,GCF_009945865.1;protein_156,GCF_009943805.1;protein_157,GCF_002090295.1;protein_156,,,,,,,
GCF_910574535.1;protein_156,GCF_002128045.1;protein_157,GCF_000319675.2;protein_156,GCF_000027345.1;protein_158,GCF_000283755.1;protein_156,GCF_002127985.1;protein_157,GCF_009947205.1;protein_156,GCF_041931765.1;protein_237,GCF_040256845.1;protein_157,GCF_002128265.1;protein_155,GCF_041931565.1;protein_352,GCF_009944725.1;protein_156,GCF_002128145.1;protein_157,GCF_001558175.1;protein_160,GCF_009942155.1;protein_155,GCF_041931755.1;protein_237,GCF_001272775.1;protein_158,GCF_009939765.1;protein_158,GCF_002355715.1;protein_155,GCF_900660465.1;protein_571,GCF_002128285.1;protein_156,GCF_009944335.1;protein_157,GCF_001272755.1;protein_157,GCF_000733995.1;protein_234,GCF_002090215.1;protein_156,GCF_000319655.2;protein_156,GCF_009947575.1;protein_158,GCF_009945865.1;protein_157,GCF_009943805.1;protein_158,GCF_002090295.1;protein_157,,,,,,,
GCF_910574535.1;protein_158,GCF_002128045.1;protein_159,GCF_000319675.2;protein_158,GCF_000027345.1;protein_160,GCF_000283755.1;protein_160,GCF_002127985.1;protein_159,GCF_009947205.1;protein_158,GCF_041931765.1;protein_239,GCF_040256845.1;protein_159,GCF_002128265.1;protein_159,GCF_041931565.1;protein_354,GCF_009944725.1;protein_160,GCF_002128145.1;protein_159,GCF_001558175.1;protein_162,GCF_009942155.1;protein_159,GCF_041931755.1;protein_239,GCF_001272775.1;protein_160,GCF_009939765.1;protein_160,GCF_002355715.1;protein_159,GCF_900660465.1;protein_568,GCF_002128285.1;protein_160,GCF_009944335.1;protein_159,GCF_001272755.1;protein_159,GCF_000733995.1;protein_236,GCF_002090215.1;protein_158,GCF_000319655.2;protein_160,GCF_009947575.1;protein_160,GCF_009945865.1;protein_161,GCF_009943805.1;protein_160,GCF_002090295.1;protein_159,,,,,,,
GCF_910574535.1;protein_159,GCF_002128045.1;protein_160,GCF_000319675.2;protein_159,GCF_000027345.1;protein_161,GCF_000283755.1;protein_161,GCF_002127985.1;protein_160,GCF_009947205.1;protein_159,GCF_041931765.1;protein_240,GCF_040256845.1;protein_160,GCF_002128265.1;protein_160,GCF_041931565.1;protein_355,GCF_009944725.1;protein_161,GCF_002128145.1;protein_160,GCF_001558175.1;protein_163,GCF_009942155.1;protein_160,GCF_041931755.1;protein_240,GCF_001272775.1;protein_161,GCF_009939765.1;protein_161,GCF_002355715.1;protein_160,GCF_900660465.1;protein_567,GCF_002128285.1;protein_161,GCF_009944335.1;protein_160,GCF_001272755.1;protein_160,GCF_000733995.1;protein_237,GCF_002090215.1;protein_159,GCF_000319655.2;protein_161,GCF_009947575.1;protein_161,GCF_009945865.1;protein_162,GCF_009943805.1;protein_161,GCF_002090295.1;protein_160,,,,,,,
GCF_910574535.1;protein_16,GCF_002128045.1;protein_16,GCF_000319675.2;protein_16,GCF_000027345.1;protein_16,GCF_000283755.1;protein_16,GCF_002127985.1;protein_16,GCF_009947205.1;protein_16,GCF_041931765.1;protein_93,GCF_040256845.1;protein_16,GCF_002128265.1;protein_16,GCF_041931565.1;protein_212,GCF_009944725.1;protein_16,GCF_002128145.1;protein_16,GCF_001558175.1;protein_16,GCF_009942155.1;protein_16,GCF_041931755.1;protein_93,GCF_001272775.1;protein_16,GCF_009939765.1;protein_16,GCF_002355715.1;protein_16,GCF_900660465.1;protein_711,GCF_002128285.1;protein_16,GCF_009944335.1;protein_16,GCF_001272755.1;protein_16,GCF_000733995.1;protein_92,GCF_002090215.1;protein_16,GCF_000319655.2;protein_16,GCF_009947575.1;protein_16,GCF_009945865.1;protein_16,GCF_009943805.1;protein_16,GCF_002090295.1;protein_16,,,,,,,
